academy|training residency
accent|motif
accompanist|recital improvisation ensemble waltz melody
adagio|waltz melody improvisation harmony syncopation ballet musicality
alignment|formation orbit variation
allegro|maestro waltz recital tango ensemble ballet
aplomb|poise swagger
arabesque|motif choreography
audience|encore premiere performance choreographer
audition|rehearsal troupe matinee performance encore ballet finale dancer choreographer choreography
bachata|merengue musicality tango samba mambo melody polyrhythm rumba syncopation rhythm jazz funk
ballerina|dancer pirouette ballet leotard choreographer twirl prance choreography tutu waltz costume troupe
ballet|choreographer troupe dancer choreography ballerina ensemble improvisation waltz recital rehearsal conservatory proscenium
ballon|float circle gala
ballroom|gala promenade waltz dancer cotillion
bar|discotheque
barre|ballerina dancer ballet choreographer twirl whirl choreography pirouette circle improvisation
beat|stomp fan
bend|shimmy lean sway traverse crouch bounce twirl
bolero|skirt leotard tights
boogie|mambo funk jazz stomp vamp hop
bounce|swing kick shimmy glide jump wobble twirl bend slide
bow|skirt
break|breaking turn skip stretch
breaking|break sweep turn
breath|stillness
cadence|melody rhythm staccato syncopation improvisation musicality harmony chorus tempo
cakewalk|beat
callback|costume rehearsal dancer
cancan|dancer prance ballerina ballet troupe pirouette leotard waltz twirl choreography costume choreographer
capoeira|ballet tango dancer samba mambo troupe rumba choreographer merengue choreography ballerina hula
castanets|waltz twirl melody pirouette shimmy chorus
center|stage partnering
chaconne|improvisation melody musicality syncopation chorus composition recital harmony
chignon|skirt bolero tights
choreographer|ballet dancer choreography troupe improvisation ensemble ballerina waltz rehearsal flamenco
choreography|choreographer dancer ballet improvisation troupe ensemble musicality rumba ballerina tango rehearsal melody
chorus|melody syncopation harmony
circle|whirl diagonal spiral wobble sway pirouette
club|fan
coda|musicality harmony counterpoint
composition|harmony improvisation syncopation rhythm polyrhythm ensemble musicality tempo arabesque
conga|samba melody drummer merengue waltz unison chorus
conservatory|recital ensemble ballet troupe choreographer maestro
contemporary|modern
control|center measure
costume|leotard tutu tights ballerina scarf prance
cotillion|prance rehearsal waltz ballroom showstopper matinee hoedown costume dancer
counterpoint|harmony
coupe|crossover
crescendo|chorus syncopation melody harmony staccato tempo
cross|bridge ribbon
crossover|coupe
crouch|bend glide bounce lean
dancer|choreographer ballerina ballet choreography troupe waltz prance pirouette rumba ensemble rehearsal twirl
dart|stomp
dash|whirl swoop combination
dip|drop rise fall soar jump
disco|discotheque ballroom tango samba mambo
discotheque|disco promenade ballroom bar entrance
downbeat|upbeat
downstage|pirouette prance sway twirl sashay waltz improvisation shimmy whirl unison
drift|whirl wobble glide bend sway shuffling
drill|swing
drop|fall jump rise dip slide swing soar lift
drummer|melody improvisation tempo chorus
elevation|traverse
encore|rehearsal chorus audience matinee waltz finale hoedown recital performance ensemble audition improvisation
ensemble|ballet improvisation choreography choreographer troupe waltz bolero chorus conservatory recital
entrance|exit floor
exit|entrance
extend|extension
extension|extend
fall|drop rise dip jump slide soar lift reach
fan|beat finale
fandango|premiere studio matinee flick
finale|premiere encore audition
flamenco|jazz choreographer dancer improvisation samba troupe choreography tango waltz ballet syncopation merengue
flexibility|strength
flick|stomp whirl shimmy sashay
float|unfurl drift
footlights|troupe proscenium audition choreographer waltz prance ballet rehearsal improvisation encore choreography dancer
footwork|pirouette poise twirl aplomb spin
formation|alignment
foxtrot|rumba waltz tango choreography dancer mambo jive ballerina vamp rehearsal troupe choreographer
freeze|suspend drop fall turn rise extend
funk|jazz groove syncopation melody improvisation
gala|ballroom cotillion
gesture|posture silence
glide|twirl swoop shimmy strut pirouette whirl wobble bend sashay bounce spin
grand|tour petit
gravity|orbit wobble momentum
groove|funk melody shimmy
harmony|melody syncopation rhythm chorus musicality improvisation tempo composition
heels|skirt tights leotard curl
hoedown|waltz melody chorus encore syncopation ensemble improvisation recital polka
hoop|swoop twirl
hop|boogie groove shimmy glide syncopation leap rumba jump tango
house|floor
hula|twirl ballerina shimmy dancer pirouette mambo hoedown boogie rumba choreography
improvisation|syncopation musicality melody choreography ensemble rhythm choreographer ballet polyrhythm harmony
intensive|center
intro|counterpoint
isolation|practice
jazz|funk ensemble flamenco improvisation syncopation melody bolero
jig|boogie
jive|tango mambo foxtrot musicality rumba performance choreography repertoire choreographer improvisation
jump|drop leap bounce fall swoop glide swing turn slide
kick|bounce punch turn
kickball|club
lambada|tango mambo rumba merengue waltz bachata dancer choreography capoeira musicality hoedown vamp
lean|tilt bend sway curl posture crouch shimmy glide
leap|pirouette glide swoop bend spin bounce shimmy twirl hop swing footwork
legato|melody syncopation harmony tempo chorus waltz rhythm
leotard|tights bolero skirt
levels|rise
lift|glide bend fall drop slide weight twirl shimmy
lines|bridge stretch traverse
locking|shuffling turn
lunge|bend shimmy twirl weight
maestro|waltz repertoire ensemble improvisation ballet recital encore jazz choreographer
makeup|costume
mambo|rumba merengue samba tango waltz dancer choreography maestro bolero boogie bachata jazz
matinee|premiere encore audition rehearsal recital cotillion gala performance
mazurka|waltz syncopation improvisation ensemble choreography melody hoedown tango recital
melody|harmony musicality syncopation rhythm chorus improvisation tempo
mentor|partnering training
merengue|bachata mambo samba tango conga rumba hoedown waltz jazz choreography flamenco musicality
meter|jump stretch
minuet|tempo chorus batterie choreography prance improvisation melody pirouette syncopation crescendo
mirror|curtain
mirroring|slide drop swing
modern|contemporary
momentum|gravity
